226;TRK20301;KRAYAN, NUNUKAN;2021-07-02;2021-07-02
227;TRK20304;SEBATIK , NUNUKAN;2021-07-02;2021-07-02
228;SMD10007;PALARAN;2021-07-02;2021-07-02
229;PKU20114;GUNUNG SAHILAN, BANGKINANG;2021-07-02;2021-07-02
230;PKU20119;PERHENTIAN RAJA, BANGKINANG;2021-07-02;2021-07-02
231;BOO20127;CILEUNGSI,KAB.BOGOR;2021-07-02;2021-07-02
232;BTG20100;SANGGATA, KUTAI TIMUR;2021-07-02;2021-07-02
233;BTG20103;BENGALON , SANGATA;2021-07-02;2021-07-02
234;BTG20116;SANGKULIRANG , SANGATA;2021-07-02;2021-07-02
235;CBN20420;KLANGENAN, SUMBER;2021-07-02;2021-07-02
236;PLM20508;LAWANG KIDUL - TJ.ENIM,MR ENIM;2021-07-02;2021-07-02
237;PLM20517;TALANG UBI,MUARA ENIM;2021-07-02;2021-07-02
238;BTJ21000;BLANGPIDIE;2021-07-02;2021-07-02
239;SRG20309;CEPU,BLORA;2021-07-02;2021-07-02
240;MES20713;AEK KUO,LABUHANBATU;2021-07-02;2021-07-02
241;MES20915;BINJAI,LANGKAT;2021-07-02;2021-07-02
242;PKU20124;TAPUNG HILIR, BANGKINANG;2021-07-02;2021-07-02
243;PKU20414;PULAU BURUNG, TEMBILAHAN;2021-07-02;2021-07-02
244;PKU20412;KEMUNING, TEMBILAHAN;2021-07-02;2021-07-02
245;PKU20509;BANGKO PUSAKO, KAB ROKAN HILIR;2021-07-02;2021-07-02
246;PKU20506;TANAH PUTIH, KAB ROKAN HILIR;2021-07-02;2021-07-02
247;JOG20400;WATES,KAB.KULON PROGO;2021-07-02;2021-07-02
248;JOG20500;WONOSARI,KAB.GN.KIDUL;2021-07-02;2021-07-02
249;BKS23000;TAIS, KAB.SELUMA;2021-07-02;2021-07-02
250;DPS20502;KLUNGKUNG,SEMARAPURA;2021-07-02;2021-07-02
251;DPS20503;NUSAPENIDA,SEMARAPURA;2021-07-02;2021-07-02
252;DPS20700;TABANAN;2021-07-02;2021-07-02
253;BDJ20700;MUARATEWEH;2021-07-02;2021-07-02
254;BDJ20800;TAMIANGLAYANG;2021-07-02;2021-07-02
255;BDJ20900;PURUK CAHU;2021-07-02;2021-07-02
256;MES22500;TANJUNG BALAI;2021-07-02;2021-07-02
257;AMQ20400;DOBO, DOBO;2021-07-02;2021-07-02
258;AMQ20600;PIRU, PIRU;2021-07-02;2021-07-02
259;MDC20700;MELONGUANE;2021-07-02;2021-07-02
260;BKS21100;KAUR,KAB.KAUR;2021-07-02;2021-07-02
261;BKS21200;KEPAHIANG,KAB.KEPAHIANG;2021-07-02;2021-07-02
262;BKS21300;LEBONG;2021-07-02;2021-07-02
263;BKS21400;MUKO-MUKO,BENGKULU;2021-07-02;2021-07-02
264;DJB20607;SUNGAI BAHAR,SENGETI;2021-07-02;2021-07-02
265;DJB20901;RIMBO BUJANG,MUARA TEBO;2021-07-02;2021-07-02
266;SMD20210;MELAK, SENDAWAR;2021-07-02;2021-07-02
267;PKU20112;BANGKINANG BARAT,BANGKINANG;2021-07-02;2021-07-02
268;PKU20113;BANGKINANG SEBERANG;2021-07-02;2021-07-02
269;PKY21300;SUKAMARA,KAB.SUKAMARA;2021-07-02;2021-07-02
270;BTH10204;SINGKEP, DAIK;2021-07-02;2021-07-02
271;BTH10200;DAIK;2021-07-02;2021-07-02
272;DPS20609;BULELENG,SINGARAJA;2021-07-02;2021-07-02
273;DPS20108;KARANGASEM,AMLAPURA;2021-07-02;2021-07-02
274;AMI20807;TANJUNG, GERUNG;2021-07-02;2021-07-02
275;AMI20800;GERUNG, KAB.LOMBOK BARAT;2021-07-02;2021-07-02
276;AMI20900;TALIWANG, KAB.SUMBAWA BARAT;2021-07-02;2021-07-02
277;PLW20117;TOILI,LUWUK;2021-07-02;2021-07-02
278;PLW20500;BANGGAI,KAB.BANGGAI KEP.;2021-07-02;2021-07-02
279;PLW20700;BANAWA,KAB.DONGGALA;2021-07-02;2021-07-02
280;PLW20709;SIGI BIROMARU;2021-07-02;2021-07-02
281;PLW21000;AMPANA KOTA,AMPANA;2021-07-02;2021-07-02
282;MDC20800;AIRMADIDI,KAB.MINAHASA UTARA;2021-07-02;2021-07-02
283;MDC21000;RATAHAN,KAB.MINAHASA TENGGARA;2021-07-02;2021-07-02
284;BTJ21100;KRUENG SABEE/CALANG;2021-07-02;2021-07-02
285;BTJ21400;IDI RAYEUK,KAB.ACEH TIMUR;2021-07-02;2021-07-02
286;BTJ21500;LHOKSUKON,KAB.ACEH UTARA;2021-07-02;2021-07-02
287;BTJ21700;BLANGKEJEREN,KAB.GAYOLUES;2021-07-02;2021-07-02
288;BTJ21800;SUKA MAKMUE;2021-07-02;2021-07-02
289;BTJ21900;MEUREUDU,KAB.PIDIE JAYA;2021-07-02;2021-07-02
290;MES22100;SALAK,KAB.PAKPAK BARAT;2021-07-02;2021-07-02
291;MES22300;SEI RAMPAH,KAB.SERDANG BEDAGAI;2021-07-02;2021-07-02
292;AMQ20300;NAMLEA,KAB.BURU;2021-07-02;2021-07-02
293;TTE20307;OBI,LABUHA;2021-07-02;2021-07-02
294;TTE20300;LABUHA;2021-07-02;2021-07-02
295;TTE20400;WEDA,KAB.HALMAHERA TENGAH;2021-07-02;2021-07-02
296;TTE20500;MABA,KAB.HALMAHERA TIMUR;2021-07-02;2021-07-02
297;TTE20501;MABA SELATAN,MABA;2021-07-02;2021-07-02
298;TTE20600;TOBELO,KAB.HALMAHERA UTARA;2021-07-02;2021-07-02
299;TTE20700;SANANA,KAB.KEP.SULA;2021-07-02;2021-07-02
300;SOQ20100;KAIMANA;2021-07-02;2021-07-02
301;SOQ20300;WAISAI,KAB.RAJA AMPAT;2021-07-02;2021-07-02
302;SOQ10019;AIMAS,SORONG;2021-07-02;2021-07-02
303;SOQ20404;AYAMARU,TEMINABUAN;2021-07-02;2021-07-02
304;SOQ20400;TEMINABUAN,KAB.SORONG SELATAN;2021-07-02;2021-07-02
305;SOQ20500;BINTUNI,KAB. TELUK BINTUNI;2021-07-02;2021-07-02
306;SOQ20603;WASIOR,RASEI;2021-07-02;2021-07-02
307;DJJ21500;SARMI,KAB.SARMI;2021-07-02;2021-07-02
308;UPG20605;RANTEPAO KAB. TANA TORAJA UTR;2021-07-02;2021-07-02
309;UPG23400;MAMASA,MAMASA;2021-07-02;2021-07-02
310;UPG20715;TOPOYO,MAMUJU;2021-07-02;2021-07-02
311;UPG23500;PASANGKAYU,MAMUJU UTARA;2021-07-02;2021-07-02
312;KOE21300;BORONG,KAB.MANGGARAI TIMUR;2021-07-02;2021-07-02
313;MES10606;PANCUR BATU,LUBUK PAKAM;2021-07-02;2021-07-02
314;BTJ22100;SINABANG;2021-07-02;2021-07-02
315;TJQ10102;GANTUNG,BELITUNG TIMUR;2021-07-02;2021-07-02
316;TJQ10100;MANGGAR,KAB.BELITUNG TIMUR;2021-07-02;2021-07-02
317;TJQ10103;KELAPA KAMPIT,BELITUNG TIMUR;2021-07-02;2021-07-02
318;BTH10306;JEMAJA,KEP.ANAMBAS;2021-07-02;2021-07-02
319;PLM21000;PANGKALANBALAI,KAB.BANYUASIN;2021-07-02;2021-07-02
320;PLM21401;BELITANG, MARTAPURA;2021-07-02;2021-07-02
321;PLM21400;MARTAPURA,KAB.OGAN KOMERING;2021-07-02;2021-07-02
322;PLM21500;MUARADUA,KAB.OGAN KOMERING ULU;2021-07-02;2021-07-02
323;PLM21100;TEBING TINGGI,KAB.EMPAT LAWANG;2021-07-02;2021-07-02
324;PLM21300;INDRALAYA,KAB.OGAN ILIR;2021-07-02;2021-07-02
325;BTJ10100;LANGSA;2021-07-02;2021-07-02
326;KDI20601;BATAUGA, BUTON SELATAN;2021-07-02;2021-07-02
327;KDI20603;GU,BUTON TENGAH;2021-07-02;2021-07-02
328;KDI20800;WANGGODO/ANDOLO,KAB.KONAWE;2021-07-02;2021-07-02
329;KDI20900;WANGI WANGI,KAB.WAKATOBI;2021-07-02;2021-07-02
330;PKU20217;DURI-MANDAU,BENGKALIS;2021-07-02;2021-07-02
331;PGK10502;PAYUNG,BANGKA SELATAN;2021-07-02;2021-07-02
332;PGK10504;SIMPANG RIMBA,BANGKA SELATAN;2021-07-02;2021-07-02
333;TKG21400;GEDONG TATAAN,KAB.PESAWARAN;2021-07-02;2021-07-02
334;PLM21600;LUBUK LINGGAU;2021-07-02;2021-07-02
335;PGK10206;MERAWANG,BANGKA;2021-07-02;2021-07-02
336;BDO10100;BANDUNG KAB, SOREANG;2021-07-02;2021-07-02
337;BDO10129;RANCAEKEK,SOREANG;2021-07-02;2021-07-02
338;KOE21400;MBAY,KAB.NAGEKEO;2021-07-02;2021-07-02
339;KOE21500;BAA, BAA;2021-07-02;2021-07-02
340;KOE21600;TAMBOLAKA, TAMBOLAKA;2021-07-02;2021-07-02
341;TNJ10102;BINTAN UTARA, KAB.BINTAN;2021-07-02;2021-07-02
342;MES21508;SEI SUKA,LIMAPULUH;2021-07-02;2021-07-02
343;AMQ20800;SAUMLAKI,KAB.MALUKU TENGGARA;2021-07-02;2021-07-02
344;PLW20600;BUOL, KAB. BUOL;2021-07-02;2021-07-02
345;PLW20800;BUNGKU, KAB. MOROWALI;2021-07-02;2021-07-02
346;MDN10100;CARUBAN,KAB.MADIUN;2021-07-02;2021-07-02
347;TKG20906;TERBANGGIBESAR / BANDARJAYA;2021-07-02;2021-07-02
348;KOE21900;OELAMASI,KAB.OELAMASI;2021-07-02;2021-07-02
349;BTH10300;RANAI, KAB. NATUNA;2021-07-02;2021-07-02
350;TKG21300;KOTA AGUNG, KAB.TANGGAMUS;2021-07-02;2021-07-02
351;TKG21303;PRINGSEWU, PRINGSEWU;2021-07-02;2021-07-02
352;TKG21204;BANJAR AGUNG, MENGGALA;2021-07-02;2021-07-02
353;TKG21214;TUMIJAJAR, MENGGALA;2021-07-02;2021-07-02
354;MDC20900;AMURANG, MINAHASA SELATAN;2021-07-02;2021-07-02
355;KOE10104;KATIKUTANA,WAIBAKUL;2021-07-02;2021-07-02
356;BTH10400;TANJUNG BALAI KARIMUN;2021-07-02;2021-07-02
357;PDG21900;MUARA,KAB.SIJUNJUNG;2021-07-02;2021-07-02
358;PDG22200;LUBUK BASUNG,KAB.AGAM;2021-07-02;2021-07-02
359;PKY20408;GUNUNG MAS,KUALAKURUN;2021-07-02;2021-07-02
360;DJB20900;MUARA TEBO;2021-07-02;2021-07-02
361;DJB20800;MUARA SABAK,KAB.TNJ JABUNG TMR;2021-07-02;2021-07-02
362;PKU20900;TELUK KUANTAN;2021-07-02;2021-07-02
363;PKU21000;PANGKALAN KERINCI,PALALAWAN;2021-07-02;2021-07-02
364;PKU21009;UKUI,KAB.PALALAWAN;2021-07-02;2021-07-02
365;PKU21104;KUNTODARUSSALAM,P.PANGARAIAN;2021-07-02;2021-07-02
366;PKU21109;TANDUN,PASIR PANGARAIAN;2021-07-02;2021-07-02
367;PKU21100;PASIR PANGARAIAN;2021-07-02;2021-07-02
368;PKU21204;KANDIS,SIAKSRIINDAPURA;2021-07-02;2021-07-02
369;PKU21208;MINAS,SIAKSRIINDAPURA;2021-07-02;2021-07-02
370;PKU21209;SIAK;2021-07-02;2021-07-02
371;PKU21212;TUALANG,SIAKSRIINDAPURA;2021-07-02;2021-07-02
